time_s,temperature_C,pwm,heat_cool
112.7,24.73,189,1
112.838,24.73,189,1
112.976,24.73,189,1
113.114,24.73,189,1
113.253,24.73,189,1
113.391,24.73,189,1
113.529,24.73,189,1
113.668,24.73,189,1
113.806,24.73,189,1
113.944,24.73,189,1
114.083,24.73,189,1
114.221,24.73,189,1
114.359,24.73,189,1
114.497,24.73,189,1
114.636,24.73,189,1
114.774,24.73,189,1
114.912,24.73,189,1
115.051,24.73,189,1
115.189,24.73,189,1
115.327,24.73,189,1
115.466,24.73,189,1
115.604,24.73,189,1
115.742,24.73,189,1
115.88,24.73,189,1
116.019,24.73,189,1
116.157,24.73,189,1
116.295,24.73,189,1
116.434,24.73,189,1
116.572,24.73,189,1
116.71,24.73,189,1
116.849,24.73,189,1
116.987,24.73,189,1
117.125,24.73,189,1
117.263,24.73,189,1
117.402,24.73,189,1
117.54,24.73,189,1
117.678,24.73,189,1
117.817,24.73,189,1
117.955,24.73,189,1
118.093,24.73,189,1
118.232,24.73,189,1
118.37,24.73,189,1
118.508,24.73,189,1
118.646,24.73,189,1
118.785,24.73,189,1
118.923,24.73,189,1
119.061,24.73,189,1
119.2,24.73,189,1
119.338,24.73,189,1
119.476,24.73,189,1
119.615,24.73,189,1
119.753,24.73,189,1
119.891,24.73,189,1
120.029,24.73,189,1
120.168,24.73,189,1
120.306,24.73,189,1
120.444,24.73,189,1
120.583,24.73,189,1
120.721,24.71,189,1
120.859,24.71,189,1
120.998,24.69,189,1
121.136,24.67,189,1
121.274,24.63,189,1
121.412,24.58,189,1
121.551,24.53,189,1
121.689,24.48,189,1
121.827,24.41,189,1
121.966,24.35,189,1
122.104,24.29,189,1
122.242,24.22,189,1
122.381,24.14,189,1
122.519,24.07,189,1
122.657,24.0,189,1
122.795,23.92,189,1
122.934,23.84,189,1
123.072,23.76,189,1
123.21,23.68,189,1
123.349,23.6,189,1
123.487,23.52,189,1
123.625,23.44,189,1
123.764,23.35,189,1
123.902,23.27,189,1
124.04,23.18,189,1
124.178,23.1,189,1
124.317,23.02,189,1
124.455,22.93,189,1
124.593,22.84,189,1
124.732,22.76,189,1
124.87,22.68,189,1
125.008,22.59,189,1
125.147,22.5,189,1
125.285,22.42,189,1
125.423,22.33,189,1
125.561,22.25,189,1
125.7,22.16,189,1
125.838,22.08,189,1
125.976,21.99,189,1
126.115,21.91,189,1
126.253,21.83,189,1
126.391,21.74,189,1
126.53,21.66,189,1
126.668,21.57,189,1
126.806,21.49,189,1
126.944,21.41,189,1
127.083,21.33,189,1
127.221,21.25,189,1
127.359,21.16,189,1
127.498,21.09,189,0
127.637,21.0,189,0
127.776,20.93,189,0
127.916,20.89,189,0
128.055,20.89,189,0
128.194,20.91,189,0
128.334,20.97,189,0
128.473,21.05,189,0
128.612,21.15,189,0
128.752,21.27,189,0
128.891,21.4,189,0
129.03,21.55,189,0
129.17,21.71,189,0
129.309,21.88,189,0
129.448,22.06,189,0
129.588,22.25,189,0
129.727,22.45,189,0
129.866,22.64,189,0
130.006,22.85,189,0
130.145,23.06,189,0
130.284,23.28,189,0
130.424,23.49,189,0
130.563,23.72,189,0
130.702,23.94,189,0
130.841,24.16,189,0
130.981,24.39,189,0
131.12,24.62,189,0
131.259,24.86,189,0
131.399,25.1,189,0
131.539,25.33,189,0
131.679,25.57,189,0
131.818,25.81,189,0
131.958,26.05,189,0
132.098,26.28,189,0
132.238,26.52,189,0
132.378,26.75,189,0
132.517,26.99,189,0
132.657,27.23,189,0
132.797,27.47,189,0
132.937,27.7,189,0
133.077,27.94,189,0
133.217,28.18,189,0
133.357,28.41,189,0
133.496,28.66,187,0
133.636,28.88,188,0
133.776,29.11,211,0
133.916,29.34,208,0
134.056,29.58,194,0
134.196,29.8,175,0
134.336,30.05,198,0
134.475,30.27,192,0
134.615,30.49,71,0
134.754,30.73,94,0
134.893,30.95,84,0
135.032,31.16,72,0
135.171,31.36,54,0
135.31,31.54,33,0
135.448,31.72,49,0
135.587,31.87,61,0
135.726,32.03,67,0
135.865,32.18,65,0
136.004,32.31,65,0
136.143,32.43,65,0
136.282,32.54,87,0
136.421,32.64,89,0
136.56,32.74,90,0
136.699,32.83,93,0
136.837,32.93,92,0
136.976,33.02,80,0
137.115,33.11,81,0
137.254,33.21,97,0
137.393,33.3,65,0
137.532,33.39,65,0
137.671,33.48,65,0
137.81,33.56,65,0
